Period,X1,X2,X3,X4,X5,CR,CLTL,NIS,TETA,ROA,ROE,Indication
2015,0.157037776,0.025912288,0.062961712,0.054819567,0.073984052,9.989424112,0.019032831,0.068647577,0.082156017,0.005078826,0.061819281,Healthy
2016,0.038334348,0.02470684,0.055642142,0.057448917,0.061323837,1.25,0.166079499,0.077572843,0.076722935,0.004757064,0.062003159,Insolvent
2017,0.036605907,0.02223842,0.047235231,0.06158039,0.057065529,2.063855808,0.037226699,0.002256629,0.075698033,0.000128776,0.001701177,Insolvent
2018,0.032258478,0.021428595,0.054200789,0.028672147,0.060927626,2.058163042,0.032903453,0.002180047,0.073490635,0.000132825,0.001807374,Insolvent
2019,0.062659849,0.018569456,0.051597325,0.017688509,0.07322987,4.811330822,0.017589212,0.004572589,0.065312744,0.00033485,0.005126872,Insolvent
2015,0.203727715,0.00705343,0.059094304,0.076763685,0.081045247,12.34440408,0.019604446,0.132802823,0.08396122,0.010763038,0.128190581,Healthy
2016,0.210014317,0.007970091,0.048761938,0.068957261,0.069000194,12.07865503,0.020564562,0.177874354,0.078187923,0.012273365,0.156972642,Healthy
2017,0.215960729,0.00707633,0.046839283,0.050201825,0.064183832,11.43260924,0.022271616,0.154677132,0.070541273,0.009927771,0.140737055,Healthy
2018,0.126324573,0.005640055,0.05528903,0.066049626,0.073735217,7.993618148,0.019409495,0.098442326,0.069381498,0.007258666,0.104619625,Healthy
2019,0.121872774,0.057517627,0.057127582,0.051378015,0.077531516,7.838174713,0.01896662,0.082543333,0.060327413,0.00639971,0.106082947,Healthy
2015,0.192444876,0.008276378,0.060916442,0.067279159,0.062075179,15.08239654,0.014900097,0.182040809,0.082849333,0.011300216,0.13639477,Healthy
2016,0.238344838,0.004974986,0.048072262,0.066682796,0.05805235,13.80280265,0.02010462,0.111118763,0.074013128,0.006450705,0.087156232,Healthy
2017,0.277235185,0.005342281,0.044564304,0.084435771,0.056840305,8.637928702,0.039111235,0.127715347,0.071950327,0.007259379,0.10089432,Healthy
2018,0.232071079,0.005455194,0.049298947,0.068757186,0.067943902,10.14761458,0.02742635,0.10630056,0.074992719,0.007222475,0.096309014,Healthy
2019,0.254766259,0.005060882,0.046166613,0.064051558,0.064584653,11.54332767,0.025957894,0.08521833,0.069117741,0.005503796,0.079629284,Healthy
2015,0.300613796,0.01763728,0.045247003,0.164479001,0.076352647,9.452381781,0.038959165,0.131908115,0.087106392,0.010071534,0.115623361,Healthy
2016,0.30730465,0.02584526,0.045752879,0.194013469,0.068239855,13.13141937,0.027610851,0.222587517,0.082559889,0.01518934,0.183979655,Secure
2017,0.341840868,0.026916118,0.037827875,0.335185003,0.068015642,14.80250468,0.027015411,0.252982036,0.083242452,0.017206735,0.206706254,Secure
2018,0.3339688,0.037269321,0.048408735,0.247035747,0.076753009,16.27793817,0.024246966,0.206349907,0.09846259,0.015837976,0.160852729,Secure
2019,0.296613819,0.03671259,0.046475298,0.17434692,0.078636339,14.22322553,0.0248635,0.140472388,0.09782309,0.011046234,0.112920521,Healthy
2015,0.255122534,0.013877218,0.062631511,0.108875677,0.071091543,11.70611586,0.026919012,0.235953339,0.114766672,0.016774287,0.146159914,Healthy
2016,0.259675858,0.008325703,0.052461722,0.101388684,0.061900574,12.04987585,0.025951868,0.253016846,0.094464355,0.015661888,0.165796801,Healthy
2017,0.234170437,0.010594855,0.045812278,0.187305161,0.060487075,11.3882395,0.024884689,0.205635471,0.094146657,0.012438288,0.132116089,Healthy
2018,0.258175994,0.006328092,0.048832586,0.096719838,0.070259845,13.33067042,0.022665096,0.096850276,0.07621353,0.006804685,0.08928448,Healthy
2019,0.234576423,0.008345399,0.051712287,0.060643266,0.075133729,9.195103597,0.030772027,0.092159211,0.069805429,0.006924265,0.099193791,Healthy
2015,0.247854136,0.007138525,0.065714473,0.077286829,0.068539464,12.13206331,0.024132045,0.125259442,0.07737253,0.008585215,0.110959471,Healthy
2016,0.245084711,0.006816197,0.05413136,0.065271197,0.064805549,10.44748672,0.027995926,0.117833798,0.073372711,0.007636284,0.10407526,Healthy
2017,0.184836907,0.006508491,0.051762933,0.073818986,0.059469284,9.522303086,0.023285279,0.11719466,0.068569877,0.006969483,0.101640587,Healthy
2018,0.209689305,0.005146632,0.053825777,0.044820663,0.068895634,12.20249951,0.0199688,0.074293994,0.062633609,0.005118532,0.081721809,Healthy
2019,0.190651146,0.005650674,0.065137679,0.038184559,0.075197462,10.89251075,0.020556602,0.075376941,0.062477801,0.005668155,0.090722698,Healthy
2015,0.421741894,0.016889021,0.037943719,0.094244156,0.065673702,21.09854528,0.022530394,0.188435941,0.068649112,0.012375286,0.180268696,Secure
2016,0.334981323,0.016029601,0.02689213,0.090083111,0.056515042,14.57225538,0.026363054,0.11265675,0.063790927,0.006366801,0.099807312,Healthy
2017,0.320846161,0.018745451,0.024030019,0.104678697,0.052994168,16.92597762,0.021488281,0.148539679,0.062461584,0.007871737,0.126025249,Healthy
2018,0.300862451,0.026692903,0.031153094,0.089293688,0.06199818,21.64072393,0.015616735,0.19559309,0.066632178,0.012126416,0.181990381,Healthy
2019,0.242835403,0.027127754,0.031000024,0.098262777,0.065436335,21.04148137,0.013032881,0.169958162,0.070302282,0.011121439,0.158194569,Healthy
2015,0.202754246,0.017340383,0.063928885,0.102362102,0.071255885,11.05455716,0.022616194,0.167637016,0.10836421,0.011945124,0.110231265,Healthy
